"guageid"	"sitename"	"flow_cfs"	"drainarea_sqmi"	"mean_ds_tonyr"	"mean_sum_Dsparam"	"adj_mean_ds_tonyr"	"mean_ds_conc_mgL"	"yield_tonsqmi"	"detrend_status"	"upstrmFrac"
9271400	"ASHLEY CREEK NEAR NAPLES, UT"	55.18	"--"	8367	0.928	7765	143	"--"	"none"	1
9271450	"ASHLEY CREEK BL SADLIER DRAW, NEAR NAPLES, UT"	59.88	"--"	20962	0.901	18892	320	"--"	"none"	1
9271550	"ASHLEY CREEK BEL UNION CANAL DIV NR JENSEN, UT"	97.6	"385"	49417	0.668	32988	343	"86"	"none"	1
9272400	"GREEN RIVER AT OURAY, UTAH"	6615.6	"30736"	2103859	0.619	1301333	200	"42"	"none"	1
9275500	"WEST FORK DUCHESNE RIVER NEAR HANNA, UT"	48.94	"61"	10562	0.668	7051	146	"116"	"none"	1
9277500	"DUCHESNE RIVER NEAR TABIONA, UT"	253.42	"349"	53799	0.668	35914	144	"103"	"flow and dissolved-solids"	1.16323314201594
9277800	"ROCK CREEK ABOVE SOUTH FORK, NEAR HANNA, UT"	33.91	"98"	1151	0.668	769	23	"8"	"none"	1
9278000	"SOUTH FORK ROCK CREEK NEAR HANNA,UTAH"	17.05	"15"	1618	0.668	1080	64	"70"	"none"	1
9279000	"ROCK CREEK NEAR MOUNTAIN HOME, UT"	179.78	"146"	10123	0.668	6758	38	"46"	"flow and dissolved-solids"	1
9279100	"ROCK CREEK NEAR TALMAGE, UT"	173.8	"236"	21787	0.561	12228	71	"52"	"none"	1
9279150	"DUCHESNE RIV ABV KNIGHT DIVERSION, NR DUCHESNE, UT"	242.31	"617"	81368	0.668	54318	228	"88"	"none"	1
9285000	"STRAWBERRY RIVER NEAR SOLDIER SPRINGS, UT"	22.5	"211"	6714	0.668	4482	202	"21"	"none"	2.97427541788853
9285900	"STRAWBERRY RIVER AT PINNACLES NEAR FRUITLAND, UT"	72.71	"368"	35255	0.668	23534	329	"64"	"flow"	1
9286100	"RED CREEK ABOVE RESERVOIR, NEAR FRUITLAND, UT"	3.68	"31"	2743	0.668	1831	505	"59"	"none"	1
9286700	"CURRANT CRK BLW CURRANT CRK DAM, NR FRUITLAND, UT"	13.32	"47"	3090	0.668	2062	157	"43"	"none"	1
9288000	"CURRANT CREEK NEAR FRUITLAND, UT"	51.3	"139"	16274	0.668	10864	215	"78"	"flow and dissolved-solids"	1
9288180	"STRAWBERRY RIVER NEAR DUCHESNE, UT"	173.97	"907"	82218	0.611	50206	293	"55"	"flow and dissolved-solids"	1
9289500	"LAKE FORK RIVER AB MOON LAKE, NR MOUNTAIN HOME, UT"	243.33	"77"	2239	0.612	1370	6	"18"	"flow and dissolved-solids"	1
9291000	"LAKE FORK RIVER BL MOON LAKE NR MOUNTAIN HOME, UT"	210.76	"111"	2409	0.668	1608	8	"15"	"flow and dissolved-solids"	1
9292000	"YELLOWSTONE R @ BRIDGE CMPGRND NR ALTONAH, UT"	158.6	"113"	5191	0.668	3465	22	"31"	"flow"	1
9292500	"YELLOWSTONE RIVER NEAR ALTONAH, UT"	214.73	"131"	7412	0.531	3937	19	"30"	"flow and dissolved-solids"	1
9295000	"DUCHESNE RIVER AT MYTON, UT"	417.38	"2615"	168124	0.668	112232	273	"43"	"flow and dissolved-solids"	1
9295100	"DUCHESNE RIV ABV UINTA RIV, NR RANDLETT, UT"	618.15	"2682"	177309	0.662	117447	193	"44"	"flow"	1
9296800	"UINTA R BLW POWERPLANT DIVERSION, NR NEOLA, UT"	215.56	"155"	3918	0.628	2460	12	"16"	"flow"	1
9299500	"WHITEROCKS RIVER NEAR WHITEROCKS, UT"	160.87	"108"	3620	0.668	2417	15	"22"	"flow and dissolved-solids"	1
9301500	"UINTA RIVER AT RANDLETT, UT"	281	"1053"	87705	0.681	59713	216	"57"	"flow"	1
9302000	"DUCHESNE RIVER NEAR RANDLETT, UT"	420.95	"3751"	265373	0.661	175484	423	"47"	"flow and dissolved-solids"	1
9302450	"LOST CREEK NEAR BUFORD, CO."	31.87	"21"	4726	0.668	3155	101	"149"	"none"	1
9303000	"NORTH FORK WHITE RIVER AT BUFORD, CO"	398.34	"256"	81737	0.647	52886	135	"206"	"none"	1
9303300	"SOUTH FORK WHITE RIVER AT BUDGES RESORT, CO."	134.5	"52"	13936	0.636	8858	67	"171"	"none"	1
9303320	"WAGONWHEEL CREEK AT BUDGES RESORT, CO."	23.98	"7"	2972	0.587	1744	74	"238"	"none"	1
9303400	"SOUTH FORK WHITE RIVER NEAR BUDGES RESORT, CO."	273.8	"127"	35943	0.621	22310	83	"176"	"none"	1
9303500	"SOUTH FORK WHITE RIVER NEAR BUFORD, CO."	340.32	"151"	53654	0.61	32728	98	"217"	"none"	1
9304000	"SOUTH FORK WHITE RIVER AT BUFORD, CO."	345.25	"175"	58205	0.606	35289	104	"201"	"none"	1
9304115	"WHITE RIVER BELOW NORTH ELK CREEK NEAR BUFORD, CO"	677.41	"524"	179828	0.668	120045	180	"229"	"flow"	1
9304200	"WHITE RIVER ABOVE COAL CREEK NEAR MEEKER, CO"	685.48	"641"	164732	0.626	103121	153	"161"	"flow and dissolved-solids"	1
9304500	"WHITE RIVER NEAR MEEKER, CO."	715.61	"752"	221597	0.639	141608	201	"188"	"flow"	1
9304800	"WHITE RIVER BELOW MEEKER, CO"	787.19	"1014"	266165	0.639	169960	219	"168"	"flow and dissolved-solids"	1
9306007	"PICEANCE CREEK BELOW RIO BLANCO, CO."	27.11	"175"	22832	0.647	14778	553	"84"	"none"	1
9306042	"PICEANCE CREEK TRIBUTARY NEAR RIO BLANCO, CO."	0.18	"1"	331	0.611	202	1160	"175"	"none"	1
9306200	"PICEANCE CREEK BL RYAN GULCH, NR RIO BLANCO, CO."	19.27	"501"	17942	0.988	17735	934	"35"	"flow"	1
9306222	"PICEANCE CREEK AT WHITE RIVER, CO"	45.71	"645"	27945	1	27945	621	"43"	"flow and dissolved-solids"	1
9306224	"WHITE RIV AB CROOKED WASH NR WHITE RIVER CITY, CO"	1047.32	"1802"	229007	1	229007	222	"127"	"flow and dissolved-solids"	1
9306235	"CORRAL GULCH BELOW WATER GULCH, NR RANGELY, CO."	1.44	"8"	1740	0.744	1294	911	"152"	"none"	1
9306242	"CORRAL GULCH NEAR RANGELY, CO"	1.57	"32"	506	1	506	328	"16"	"flow and dissolved-solids"	1
9306255	"YELLOW CREEK NEAR WHITE RIVER, CO."	4.33	"259"	2678	1	2678	628	"10"	"flow and dissolved-solids"	1
9306290	"WHITE RIVER BELOW BOISE CREEK, NEAR RANGELY, CO."	891.3	"2503"	328098	0.646	212065	242	"85"	"flow and dissolved-solids"	1
9306500	"WHITE RIVER NEAR WATSON, UTAH"	735.23	"3978"	343180	0.643	220757	305	"55"	"flow and dissolved-solids"	1
9306800	"BITTER CREEK NEAR BONANZA, UT"	15.31	"320"	40952	0.668	27338	1813	"85"	"none"	1
9308500	"MINNIE MAUD CREEK NR MYTON, UTAH"	7.3	"32"	4214	0.668	2813	391	"89"	"none"	1
9309600	"FAIRVIEW TUNNEL NEAR FAIRVIEW, UT"	8.74	"--"	1479	0.668	987	115	"--"	"flow"	1
9310000	"GOOSEBERRY CREEK NEAR SCOFIELD, UT"	22.43	"17"	5583	0.668	3727	169	"224"	"none"	1.11111111111111
9310500	"FISH CREEK ABOVE RESERVOIR, NEAR SCOFIELD, UT"	62.97	"59"	14046	0.668	9376	151	"158"	"flow"	1
9310700	"MUD CRK BL WINTER QUARTERS CYN @ SCOFIELD, UT"	19.7	"29"	12508	0.668	8350	430	"288"	"flow and dissolved-solids"	1
9312600	"WHITE R BL TABBYUNE CRK NR SOLDIER SUMMIT, UT"	32.82	"75"	11673	0.579	6764	209	"90"	"flow and dissolved-solids"	1
9312700	"BEAVER CREEK NEAR SOLDIER SUMMIT, UTAH"	4.47	"26"	1759	0.668	1174	267	"45"	"none"	1
9312800	"WILLOW CREEK NEAR CASTLE GATE, UTAH"	11.76	"62"	7693	0.668	5135	443	"83"	"none"	1
9314500	"PRICE RIVER AT WOODSIDE, UT"	107.27	"1524"	162595	0.763	124033	1174	"81"	"flow and dissolved-solids"	1
9315000	"GREEN RIVER AT GREEN RIVER, UT"	6070.08	"44382"	2811484	0.635	1785560	299	"40"	"flow and dissolved-solids"	1
9326500	"FERRON CREEK (UPPER STATION) NEAR FERRON, UT"	66.33	"137"	24552	0.582	14299	219	"105"	"flow and dissolved-solids"	1.07281583393588
9328500	"SAN RAFAEL RIVER NEAR GREEN RIVER, UT"	101.78	"1611"	139533	0.812	113301	1130	"70"	"flow and dissolved-solids"	1.07644524281101
9329050	"SEVEN MILE CREEK NEAR FISH LAKE, UT"	21.44	"24"	1986	0.668	1326	63	"55"	"flow and dissolved-solids"	1
9330000	"FREMONT RIVER NEAR BICKNELL, UT"	83.68	"743"	32703	0.654	21398	260	"29"	"flow and dissolved-solids"	1
9330410	"BULL CREEK NEAR HANKSVILLE, UT"	1.67	"7"	325	1	325	198	"44"	"none"	1
9330500	"MUDDY CREEK NEAR EMERY, UT"	38.52	"104"	14067	0.568	7990	211	"77"	"flow"	1
9332100	"MUDDY CREEK BL I-70 NR EMERY, UTAH"	42.81	"414"	167832	0.694	116514	2763	"282"	"flow and dissolved-solids"	1
9333500	"DIRTY DEVIL R AB POISON SP WSH NR HANKSVILLE UT"	100.78	"4115"	187479	0.752	140942	1420	"34"	"flow and dissolved-solids"	1
9337000	"PINE CREEK NEAR ESCALANTE, UT"	4.54	"68"	1553	0.668	1037	232	"15"	"flow and dissolved-solids"	1
9337500	"ESCALANTE RIVER NEAR ESCALANTE, UT"	7.18	"317"	7968	0.663	5283	747	"17"	"flow and dissolved-solids"	1
9339900	"EF SAN JUAN R AB SAND CREEK, NR PAGOSA SPGS, CO."	210.58	"63"	8927	0.668	5959	29	"94"	"none"	1
9340800	"W FK SAN JUAN R AT W FK CAMPGR NR PAGOSA SPR, CO"	259.74	"50"	5051	1.062	5362	21	"108"	"none"	1
9341300	"WOLF CR AT WOLF CR CAMPGR NR PAGOSA SPR, CO"	101.9	"18"	2171	0.964	2092	21	"118"	"none"	1
9341350	"WINDY PASS CR NR PAGOSA SPR, CO."	2.46	"2"	87	0.867	75	31	"49"	"none"	1
9341500	"WEST FORK SAN JUAN RIVER NEAR PAGOSA SPRINGS, CO"	218.15	"85"	10585	1	10585	49	"125"	"none"	1
9342500	"SAN JUAN RIVER AT PAGOSA SPRINGS, CO"	621.66	"278"	32167	0.721	23206	38	"83"	"flow and dissolved-solids"	1
9346000	"NAVAJO RIVER AT EDITH, CO."	140.4	"170"	23570	0.668	15734	114	"92"	"none"	1.7116613522347
9346400	"SAN JUAN RIVER NEAR CARRACAS, CO."	959.5	"1237"	92818	0.661	61393	65	"50"	"flow and dissolved-solids"	1.03144746168353
9349800	"PIEDRA RIVER NEAR ARBOLES, CO."	631.41	"646"	75313	0.647	48751	78	"75"	"flow"	1
9352900	"VALLECITO CREEK NEAR BAYFIELD, CO."	212.36	"72"	4591	1	4591	22	"64"	"flow and dissolved-solids"	1
9353800	"LOS PINOS RIVER NEAR IGNACIO, CO"	139.4	"336"	12417	0.668	8289	60	"25"	"flow"	1
9354500	"LOS PINOS RIVER AT LA BOCA, CO."	310.47	"514"	35122	0.581	20403	67	"40"	"flow and dissolved-solids"	1
9355000	"SPRING CREEK AT LA BOCA, CO"	34.98	"58"	11380	0.622	7083	206	"123"	"flow and dissolved-solids"	1
9355500	"SAN JUAN RIVER NEAR ARCHULETA, NM"	1170.21	"3226"	201417	0.614	123585	107	"38"	"flow and dissolved-solids"	1
9357255	"GALLEGOS CANYON AT NIIP NEAR FARMINGTON, NM"	15.5	"--"	27093	0.685	18548	1215	"--"	"none"	1
9358000	"ANIMAS RIVER AT SILVERTON, CO."	224.41	"70"	22491	0.668	15014	68	"215"	"flow"	1
9358550	"CEMENT CREEK AT SILVERTON, CO"	61.5	"20"	19938	0.668	13310	220	"663"	"flow"	1
9359010	"MINERAL CREEK AT SILVERTON, CO"	155.29	"52"	22198	0.668	14819	97	"286"	"flow"	1
9359020	"ANIMAS RIVER BELOW SILVERTON, CO"	504.26	"144"	45199	1	45199	91	"313"	"flow and dissolved-solids"	1
9361500	"ANIMAS RIVER AT DURANGO, CO"	1167.58	"694"	211155	0.611	128936	112	"186"	"flow and dissolved-solids"	1
9362550	"WILSON GULCH NEAR DURANGO, CO"	1.61	"7"	655	0.668	437	276	"67"	"none"	1
9363500	"ANIMAS RIVER NEAR CEDAR HILL, NM"	983.66	"1079"	249880	0.601	150099	155	"139"	"flow and dissolved-solids"	1
9364500	"ANIMAS RIVER AT FARMINGTON, NM"	870.68	"1346"	265370	0.625	165945	193	"123"	"flow and dissolved-solids"	1
9365000	"SAN JUAN RIVER AT FARMINGTON, NM"	1251.53	"7165"	353293	1	353293	287	"49"	"flow"	1
9367536	"OJO AMARILLO CANYON AT NIIP NR FRUITLAND, NM"	2.17	"--"	5302	0.701	3718	1741	"--"	"none"	1
9368000	"SAN JUAN RIVER AT SHIPROCK, NM"	1997.22	"12766"	418115	1	418115	213	"33"	"flow"	1
9371000	"MANCOS RIVER NEAR TOWAOC, CO."	81.3	"520"	29619	0.731	21640	270	"42"	"flow and dissolved-solids"	1
9371002	"NAVAJO WASH NEAR TOWAOC, CO"	12.4	"26"	19333	0.813	15718	1286	"608"	"none"	1
9371010	"SAN JUAN RIVER AT FOUR CORNERS, CO"	1981.53	"14448"	638460	0.631	402912	206	"28"	"flow and dissolved-solids"	1
9371492	"MUD CREEK AT STATE HIGHWAY 32, NEAR CORTEZ, CO."	8.47	"34"	16639	0.821	13668	1639	"402"	"flow and dissolved-solids"	1
9371500	"MCELMO CREEK NEAR CORTEZ, CO."	65.09	"227"	105751	1	105751	1649	"465"	"none"	1
9371520	"MCELMO CREEK ABOVE TRAIL CANYON NEAR CORTEZ, CO"	61.71	"232"	91163	0.785	71560	1177	"309"	"flow and dissolved-solids"	1
9372000	"MCELMO CREEK NEAR COLORADO-UTAH STATE LINE"	60.28	"341"	86236	0.803	69264	1166	"203"	"flow and dissolved-solids"	1
9378170	"SOUTH CREEK ABOVE RESERVOIR NEAR MONTICELLO, UT"	1.16	"8"	184	0.668	123	108	"14"	"flow and dissolved-solids"	1
9378200	"MONTEZUMA CREEK AT GOLF COURSE AT MONTICELLO, UT"	0.52	"17"	1203	0.668	803	1578	"46"	"none"	1
9378600	"MONTEZUMA CREEK NEAR BLUFF, UTAH"	56.07	"1142"	31640	0.736	23302	422	"20"	"none"	1
9378630	"RECAPTURE CREEK NEAR BLANDING, UT"	1.16	"4"	96	0.612	59	51	"15"	"flow and dissolved-solids"	1
9379500	"SAN JUAN RIVER NEAR BLUFF, UT"	2123.98	"22760"	790120	0.65	513655	246	"23"	"flow and dissolved-solids"	1
9380000	"COLORADO RIVER AT LEES FERRY, AZ"	15136.22	"110635"	9674397	0.622	6017846	404	"54"	"flow and dissolved-solids"	1
9381800	"PARIA RIVER NEAR KANAB, UTAH"	87.64	"640"	31303	0.811	25399	294	"40"	"flow"	1
9382000	"PARIA RIVER AT LEES FERRY, AZ"	20.94	"1395"	42234	0.681	28746	1393	"21"	"flow"	1
385106106571000	"SLATE R AB BAXTER GL @HWY 135 NR CRESTED BUTTE, CO"	141.26	"73"	13878	0.573	7953	57	"110"	"flow"	1
394220106431500	"EAGLE RIVER BELOW MILK CREEK NEAR WOLCOTT, CO"	686.46	"594"	175098	0.558	97646	144	"164"	"flow and dissolved-solids"	1
400016105490800	"MEADOW CREEK AT MOUTH NR TABERNASH, CO"	9.92	"14"	122	0.668	81	8	"6"	"none"	1
